epoch	loss	acc	val_loss	val_acc
0	0.714161	0.563000	0.595407	0.712500
1	0.580237	0.693000	0.527075	0.797500
2	0.526212	0.749500	0.486642	0.815000
3	0.494479	0.769500	0.463853	0.798750
4	0.468936	0.783500	0.444580	0.816250
5	0.446600	0.804500	0.417742	0.828750
6	0.421368	0.811000	0.411034	0.825000
7	0.413038	0.823000	0.388750	0.846250
8	0.402011	0.819000	0.377563	0.851250
9	0.379729	0.841500	0.367750	0.858750
10	0.376102	0.841000	0.362637	0.857500
11	0.372454	0.841500	0.352327	0.865000
12	0.358817	0.850500	0.352458	0.857500
13	0.346147	0.861500	0.338531	0.870000
14	0.344732	0.855500	0.335018	0.870000
15	0.338912	0.862000	0.332185	0.868750
16	0.330998	0.865500	0.323902	0.880000
17	0.324373	0.879500	0.318501	0.881250
18	0.322160	0.870000	0.315934	0.880000
19	0.319980	0.861500	0.311913	0.880000
20	0.316421	0.866500	0.309244	0.882500
21	0.309173	0.877500	0.306501	0.885000
22	0.303354	0.881500	0.303767	0.882500
23	0.302388	0.875000	0.305371	0.876250
24	0.293486	0.885500	0.298613	0.886250
25	0.289116	0.880000	0.296094	0.890000
26	0.292023	0.879500	0.293053	0.888750
27	0.277902	0.888500	0.297524	0.880000
28	0.284933	0.883000	0.291980	0.886250
29	0.287133	0.881000	0.293384	0.877500
30	0.268667	0.890500	0.288614	0.886250
31	0.275698	0.884500	0.285721	0.891250
32	0.281287	0.884000	0.285840	0.888750
33	0.264991	0.898500	0.283228	0.891250
34	0.262228	0.903000	0.305944	0.865000
35	0.268263	0.890000	0.283683	0.885000
36	0.262665	0.894500	0.280591	0.886250
37	0.251754	0.897000	0.275299	0.898750
38	0.243059	0.901500	0.281550	0.881250
39	0.247281	0.903000	0.275983	0.887500
40	0.247541	0.902500	0.273349	0.895000
41	0.243847	0.904000	0.270834	0.898750
42	0.248005	0.901000	0.286399	0.878750
43	0.238007	0.905000	0.275383	0.880000
44	0.240062	0.903000	0.271550	0.891250
45	0.245395	0.902500	0.268308	0.896250
46	0.238449	0.910000	0.266503	0.898750
47	0.238101	0.904000	0.266194	0.895000
48	0.235511	0.909500	0.264294	0.900000
49	0.234976	0.907000	0.264897	0.901250
