epoch	loss	acc	val_loss	val_acc
0	0.285245	0.878000	0.246218	0.906250
1	0.257907	0.893500	0.228116	0.908750
2	0.234788	0.904500	0.218511	0.916250
3	0.232750	0.907000	0.209936	0.911250
4	0.203097	0.919000	0.203974	0.918750
5	0.209020	0.920500	0.199215	0.917500
6	0.189126	0.930500	0.195486	0.921250
7	0.183090	0.929500	0.187467	0.922500
8	0.163412	0.938500	0.185787	0.926250
9	0.167253	0.935000	0.203867	0.917500
10	0.162284	0.944500	0.177303	0.927500
11	0.155024	0.938500	0.176084	0.927500
12	0.138077	0.948000	0.188783	0.930000
13	0.145380	0.947000	0.174718	0.927500
14	0.130498	0.950000	0.184679	0.928750
15	0.118295	0.955500	0.172519	0.936250
16	0.120627	0.955000	0.171105	0.937500
17	0.117186	0.953500	0.172518	0.935000
18	0.105900	0.959500	0.177610	0.936250
19	0.104669	0.958000	0.165234	0.938750
20	0.105559	0.963000	0.166098	0.938750
21	0.097680	0.966000	0.166737	0.937500
22	0.089368	0.964500	0.169408	0.938750
23	0.094963	0.965000	0.169161	0.933750
24	0.082589	0.968500	0.168525	0.930000
25	0.097105	0.960000	0.179726	0.923750
26	0.086777	0.968500	0.160594	0.941250
27	0.083691	0.967500	0.173287	0.928750
28	0.076149	0.974000	0.163719	0.938750
29	0.072236	0.977500	0.174049	0.940000
30	0.068176	0.976000	0.162586	0.940000
31	0.063713	0.979500	0.173386	0.941250
32	0.069538	0.978000	0.168720	0.941250
33	0.063926	0.980000	0.174483	0.930000
34	0.064887	0.975000	0.177822	0.937500
35	0.061099	0.978000	0.180478	0.930000
36	0.052073	0.986500	0.168689	0.935000
37	0.053679	0.978500	0.188389	0.932500
38	0.060720	0.980000	0.167834	0.935000
39	0.049258	0.987000	0.168431	0.938750
40	0.055152	0.982000	0.168365	0.940000
41	0.046064	0.987500	0.165750	0.936250
42	0.043425	0.987500	0.168777	0.940000
43	0.048988	0.985500	0.176009	0.930000
44	0.046667	0.982000	0.167131	0.940000
45	0.058532	0.978000	0.165297	0.936250
46	0.033589	0.994500	0.173390	0.936250
47	0.033359	0.991000	0.173264	0.937500
48	0.045723	0.986500	0.186424	0.936250
49	0.038466	0.987500	0.210461	0.925000
