epoch	loss	acc	val_loss	val_acc
0	0.694737	0.504500	0.690526	0.500000
1	0.690005	0.548500	0.693043	0.501250
2	0.679512	0.573500	0.686381	0.515000
3	0.675563	0.592000	0.663401	0.570000
4	0.642359	0.641000	0.604441	0.692500
5	0.623111	0.665000	0.593719	0.705000
6	0.599490	0.706000	0.617775	0.635000
7	0.579578	0.714000	0.583074	0.692500
8	0.557585	0.700500	0.544952	0.748750
9	0.546061	0.731500	0.577243	0.683750
10	0.536914	0.724500	0.536697	0.733750
11	0.523490	0.742500	0.490854	0.756250
12	0.537167	0.737500	0.531516	0.727500
13	0.488059	0.772500	0.501710	0.755000
14	0.484678	0.779000	0.507609	0.753750
15	0.477324	0.772000	0.497144	0.761250
16	0.449890	0.801000	0.481205	0.758750
17	0.445174	0.799000	0.517130	0.735000
18	0.473614	0.765000	0.488222	0.762500
19	0.428389	0.807500	0.481938	0.771250
20	0.414903	0.806000	0.539228	0.747500
21	0.457450	0.794000	0.489443	0.765000
22	0.415292	0.810500	0.549686	0.738750
23	0.402155	0.831000	0.482155	0.775000
24	0.403701	0.832500	0.482108	0.773750
25	0.393191	0.821000	0.484627	0.780000
26	0.419525	0.817500	0.501306	0.762500
27	0.372051	0.846500	0.466667	0.781250
28	0.359437	0.846500	0.504453	0.783750
29	0.347263	0.856000	0.499090	0.775000
30	0.359424	0.847000	0.490907	0.782500
31	0.333338	0.852500	0.523884	0.757500
32	0.356558	0.847000	0.482969	0.788750
33	0.333785	0.849500	0.483205	0.791250
34	0.315923	0.869500	0.465817	0.788750
35	0.317983	0.856000	0.489339	0.786250
36	0.302920	0.876500	0.471570	0.803750
37	0.317391	0.856500	0.494427	0.773750
38	0.283568	0.878500	0.539274	0.793750
39	0.308622	0.864000	0.566642	0.763750
40	0.297260	0.880000	0.510635	0.777500
41	0.284940	0.880500	0.543049	0.792500
42	0.260957	0.886500	0.507824	0.791250
43	0.277798	0.879500	0.530493	0.785000
44	0.285383	0.874500	0.544729	0.786250
45	0.262041	0.887000	0.591647	0.763750
46	0.263731	0.893500	0.555304	0.753750
47	0.246070	0.896000	0.510346	0.796250
48	0.278114	0.882000	0.557274	0.790000
49	0.237661	0.896500	0.631066	0.752500
